Period,Ratio,Group,Keyword,Gender
2019-11-01,0.88394,10,유산균,Female
2019-11-01,30.30223,20,유산균,Female
2019-11-01,58.73738,30,유산균,Female
2019-11-01,44.45125,40,유산균,Female
2019-11-01,13.19505,50,유산균,Female
2019-11-01,2.90857,60,유산균,Female
2019-12-01,1.01522,10,유산균,Female
2019-12-01,29.2024,20,유산균,Female
2019-12-01,57.76299,30,유산균,Female
2019-12-01,43.13262,40,유산균,Female
2019-12-01,14.35031,50,유산균,Female
2019-12-01,3.08069,60,유산균,Female
2020-01-01,0.86936,10,유산균,Female
2020-01-01,29.19365,20,유산균,Female
2020-01-01,62.13606,30,유산균,Female
2020-01-01,50.776,40,유산균,Female
2020-01-01,15.10298,50,유산균,Female
2020-01-01,3.08652,60,유산균,Female
2020-02-01,1.46157,10,유산균,Female
2020-02-01,32.87531,20,유산균,Female
2020-02-01,70.65172,30,유산균,Female
2020-02-01,61.17918,40,유산균,Female
2020-02-01,17.28805,50,유산균,Female
2020-02-01,3.88003,60,유산균,Female
2020-03-01,2.05963,10,유산균,Female
2020-03-01,44.12451,20,유산균,Female
2020-03-01,82.79946,30,유산균,Female
2020-03-01,72.82805,40,유산균,Female
2020-03-01,23.84911,50,유산균,Female
2020-03-01,4.44016,60,유산균,Female
2020-04-01,2.5264,10,유산균,Female
2020-04-01,45.1164,20,유산균,Female
2020-04-01,82.03512,30,유산균,Female
2020-04-01,74.1496,40,유산균,Female
2020-04-01,25.32236,50,유산균,Female
2020-04-01,4.84859,60,유산균,Female
2020-05-01,2.38637,10,유산균,Female
2020-05-01,42.39453,20,유산균,Female
2020-05-01,77.27405,30,유산균,Female
2020-05-01,67.00799,40,유산균,Female
2020-05-01,22.14248,50,유산균,Female
2020-05-01,4.19511,60,유산균,Female
2020-06-01,1.54618,10,유산균,Female
2020-06-01,37.97479,20,유산균,Female
2020-06-01,70.22288,30,유산균,Female
2020-06-01,60.75617,40,유산균,Female
2020-06-01,21.97911,50,유산균,Female
2020-06-01,4.25345,60,유산균,Female
2020-07-01,1.72705,10,유산균,Female
2020-07-01,41.54268,20,유산균,Female
2020-07-01,78.18717,30,유산균,Female
2020-07-01,71.12141,40,유산균,Female
2020-07-01,25.97876,50,유산균,Female
2020-07-01,5.63918,60,유산균,Female
2020-08-01,2.27551,10,유산균,Female
2020-08-01,44.60295,20,유산균,Female
2020-08-01,81.06365,30,유산균,Female
2020-08-01,74.32463,40,유산균,Female
2020-08-01,26.31425,50,유산균,Female
2020-08-01,5.48748,60,유산균,Female
2020-09-01,2.61975,10,유산균,Female
2020-09-01,45.58609,20,유산균,Female
2020-09-01,86.20397,30,유산균,Female
2020-09-01,80.36641,40,유산균,Female
2020-09-01,27.78166,50,유산균,Female
2020-09-01,5.17533,60,유산균,Female
2020-10-01,1.91084,10,유산균,Female
2020-10-01,42.00653,20,유산균,Female
2020-10-01,78.6802,30,유산균,Female
2020-10-01,77.81084,40,유산균,Female
2020-10-01,27.20987,50,유산균,Female
2020-10-01,5.74712,60,유산균,Female
2020-11-01,1.91668,10,유산균,Female
2020-11-01,40.3349,20,유산균,Female
2020-11-01,75.61701,30,유산균,Female
2020-11-01,67.16844,40,유산균,Female
2020-11-01,24.70389,50,유산균,Female
2020-11-01,6.24015,60,유산균,Female
2020-12-01,1.82916,10,유산균,Female
2020-12-01,42.42954,20,유산균,Female
2020-12-01,79.43287,30,유산균,Female
2020-12-01,68.66211,40,유산균,Female
2020-12-01,26.09837,50,유산균,Female
2020-12-01,6.81486,60,유산균,Female
2021-01-01,1.65703,10,유산균,Female
2021-01-01,42.53748,20,유산균,Female
2021-01-01,80.50936,30,유산균,Female
2021-01-01,79.22574,40,유산균,Female
2021-01-01,33.43835,50,유산균,Female
2021-01-01,8.63819,60,유산균,Female
2021-02-01,1.28653,10,유산균,Female
2021-02-01,30.88569,20,유산균,Female
2021-02-01,58.55067,30,유산균,Female
2021-02-01,56.2664,40,유산균,Female
2021-02-01,23.92204,50,유산균,Female
2021-02-01,5.73253,60,유산균,Female
2021-03-01,1.36822,10,유산균,Female
2021-03-01,36.05519,20,유산균,Female
2021-03-01,64.40574,30,유산균,Female
2021-03-01,65.35095,40,유산균,Female
2021-03-01,27.59495,50,유산균,Female
2021-03-01,6.51146,60,유산균,Female
2021-04-01,1.23694,10,유산균,Female
2021-04-01,33.83219,20,유산균,Female
2021-04-01,64.25695,30,유산균,Female
2021-04-01,64.97461,40,유산균,Female
2021-04-01,24.91685,50,유산균,Female
2021-04-01,5.98634,60,유산균,Female
2021-05-01,1.4324,10,유산균,Female
2021-05-01,34.95244,20,유산균,Female
2021-05-01,65.39179,30,유산균,Female
2021-05-01,65.89649,40,유산균,Female
2021-05-01,28.57226,50,유산균,Female
2021-05-01,7.01032,60,유산균,Female
2021-06-01,1.61619,10,유산균,Female
2021-06-01,34.95536,20,유산균,Female
2021-06-01,68.97135,30,유산균,Female
2021-06-01,69.16097,40,유산균,Female
2021-06-01,29.73919,50,유산균,Female
2021-06-01,7.21162,60,유산균,Female
2021-07-01,1.33905,10,유산균,Female
2021-07-01,37.86977,20,유산균,Female
2021-07-01,70.80051,30,유산균,Female
2021-07-01,69.29225,40,유산균,Female
2021-07-01,28.86982,50,유산균,Female
2021-07-01,6.88196,60,유산균,Female
2021-08-01,4.44891,10,유산균,Female
2021-08-01,39.87397,20,유산균,Female
2021-08-01,74.33339,30,유산균,Female
2021-08-01,70.59338,40,유산균,Female
2021-08-01,28.33595,50,유산균,Female
2021-08-01,6.84695,60,유산균,Female
2021-09-01,2.96108,10,유산균,Female
2021-09-01,32.26559,20,유산균,Female
2021-09-01,64.69455,30,유산균,Female
2021-09-01,65.07672,40,유산균,Female
2021-09-01,25.10064,50,유산균,Female
2021-09-01,6.02135,60,유산균,Female
2021-10-01,1.40323,10,유산균,Female
2021-10-01,27.14569,20,유산균,Female
2021-10-01,55.84048,30,유산균,Female
2021-10-01,56.94906,40,유산균,Female
2021-10-01,22.72302,50,유산균,Female
2021-10-01,5.8609,60,유산균,Female
2021-11-01,1.30696,10,유산균,Female
2021-11-01,23.48736,20,유산균,Female
2021-11-01,47.35398,30,유산균,Female
2021-11-01,47.38899,40,유산균,Female
2021-11-01,19.59857,50,유산균,Female
2021-11-01,4.80483,60,유산균,Female
2021-12-01,0.95979,10,유산균,Female
2021-12-01,21.71947,20,유산균,Female
2021-12-01,46.91638,30,유산균,Female
2021-12-01,46.46128,40,유산균,Female
2021-12-01,18.97426,50,유산균,Female
2021-12-01,4.45766,60,유산균,Female
2022-01-01,0.74975,10,유산균,Female
2022-01-01,23.47861,20,유산균,Female
2022-01-01,53.12445,30,유산균,Female
2022-01-01,53.21489,40,유산균,Female
2022-01-01,24.6047,50,유산균,Female
2022-01-01,5.83756,60,유산균,Female
2022-02-01,0.74683,10,유산균,Female
2022-02-01,23.68866,20,유산균,Female
2022-02-01,51.82332,30,유산균,Female
2022-02-01,54.25053,40,유산균,Female
2022-02-01,23.97164,50,유산균,Female
2022-02-01,6.71859,60,유산균,Female
2022-03-01,0.94229,10,유산균,Female
2022-03-01,25.194,20,유산균,Female
2022-03-01,53.46869,30,유산균,Female
2022-03-01,55.85215,40,유산균,Female
2022-03-01,25.52949,50,유산균,Female
2022-03-01,6.6019,60,유산균,Female
2022-04-01,0.73516,10,유산균,Female
2022-04-01,21.64361,20,유산균,Female
2022-04-01,47.91994,30,유산균,Female
2022-04-01,45.22434,40,유산균,Female
2022-04-01,22.45755,50,유산균,Female
2022-04-01,5.19283,60,유산균,Female
2022-05-01,0.59221,10,유산균,Female
2022-05-01,22.17457,20,유산균,Female
2022-05-01,48.10374,30,유산균,Female
2022-05-01,52.17048,40,유산균,Female
2022-05-01,24.4034,50,유산균,Female
2022-05-01,6.85862,60,유산균,Female
2022-06-01,0.73808,10,유산균,Female
2022-06-01,24.44133,20,유산균,Female
2022-06-01,48.29628,30,유산균,Female
2022-06-01,51.76206,40,유산균,Female
2022-06-01,23.52529,50,유산균,Female
2022-06-01,5.75004,60,유산균,Female
2022-07-01,0.86061,10,유산균,Female
2022-07-01,26.27632,20,유산균,Female
2022-07-01,54.35264,30,유산균,Female
2022-07-01,58.6732,40,유산균,Female
2022-07-01,28.86107,50,유산균,Female
2022-07-01,7.75424,60,유산균,Female
2022-08-01,1.18443,10,유산균,Female
2022-08-01,28.01797,20,유산균,Female
2022-08-01,59.69718,30,유산균,Female
2022-08-01,72.58299,40,유산균,Female
2022-08-01,33.91971,50,유산균,Female
2022-08-01,8.83657,60,유산균,Female
2022-09-01,1.10274,10,유산균,Female
2022-09-01,27.40241,20,유산균,Female
2022-09-01,57.50043,30,유산균,Female
2022-09-01,67.63813,40,유산균,Female
2022-09-01,30.67856,50,유산균,Female
2022-09-01,7.88844,60,유산균,Female
2022-10-01,0.81976,10,유산균,Female
2022-10-01,26.48929,20,유산균,Female
2022-10-01,57.12993,30,유산균,Female
2022-10-01,69.51689,40,유산균,Female
2022-10-01,32.86947,50,유산균,Female
2022-10-01,8.92409,60,유산균,Female
2022-11-01,0.80226,10,유산균,Female
2022-11-01,45.01137,20,유산균,Female
2022-11-01,77.12818,30,유산균,Female
2022-11-01,91.92193,40,유산균,Female
2022-11-01,33.62798,50,유산균,Female
2022-11-01,9.19248,60,유산균,Female
2022-12-01,0.89561,10,유산균,Female
2022-12-01,36.46653,20,유산균,Female
2022-12-01,75.229,30,유산균,Female
2022-12-01,100.0,40,유산균,Female
2022-12-01,34.45358,50,유산균,Female
2022-12-01,9.70301,60,유산균,Female
2023-01-01,0.84894,10,유산균,Female
